uid,category,subcategory,question_index,question_polarity,context_condition,model,control_type,effort,max_tokens,prompt_control,think,model_answer,correct_answer,is_correct,selected_unknown,selected_stereotype,selected_anti_stereotype,unknown_index,stereotype_index,anti_stereotype_index,content,thinking_chars,latency_seconds,probe_final_answer,commitment_point_frac,first_stereotype_mention_pct,first_anti_stereotype_mention_pct
Age_181,Age,old,4,neg,disambig,,native_effort,low,,,,,,,,,,,,,,,,,,,
Age_181,Age,old,4,neg,disambig,,native_effort,medium,,,,,,,,,,,,,,,,,,,
Age_181,Age,old,4,neg,disambig,,native_effort,high,,,,,,,,,,,,,,,,,,,
Age_181,Age,old,4,neg,disambig,,budget,medium,128,,True,,,,,,,,,,,,,,,,
Age_181,Age,old,4,neg,disambig,,budget,medium,512,,True,,,,,,,,,,,,,,,,
Age_181,Age,old,4,neg,disambig,,budget,medium,1024,,True,,,,,,,,,,,,,,,,
Age_101,Age,old,4,neg,disambig,,native_effort,low,,,,,,,,,,,,,,,,,,,
Age_101,Age,old,4,neg,disambig,,native_effort,medium,,,,,,,,,,,,,,,,,,,
Age_101,Age,old,4,neg,disambig,,native_effort,high,,,,,,,,,,,,,,,,,,,
Age_101,Age,old,4,neg,disambig,,budget,medium,128,,True,,,,,,,,,,,,,,,,
Age_101,Age,old,4,neg,disambig,,budget,medium,512,,True,,,,,,,,,,,,,,,,
Age_101,Age,old,4,neg,disambig,,budget,medium,1024,,True,,,,,,,,,,,,,,,,
Disability_status_1279,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,native_effort,low,,,,,,,,,,,,,,,,,,,
Disability_status_1279,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,native_effort,medium,,,,,,,,,,,,,,,,,,,
Disability_status_1279,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,native_effort,high,,,,,,,,,,,,,,,,,,,
Disability_status_1279,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,budget,medium,128,,True,,,,,,,,,,,,,,,,
Disability_status_1279,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,budget,medium,512,,True,,,,,,,,,,,,,,,,
Disability_status_1279,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,budget,medium,1024,,True,,,,,,,,,,,,,,,,
Disability_status_1303,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,native_effort,low,,,,,,,,,,,,,,,,,,,
Disability_status_1303,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,native_effort,medium,,,,,,,,,,,,,,,,,,,
Disability_status_1303,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,native_effort,high,,,,,,,,,,,,,,,,,,,
Disability_status_1303,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,budget,medium,128,,True,,,,,,,,,,,,,,,,
Disability_status_1303,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,budget,medium,512,,True,,,,,,,,,,,,,,,,
Disability_status_1303,Disability_status,"disabled, physically disabled",18,nonneg,disambig,,budget,medium,1024,,True,,,,,,,,,,,,,,,,
Gender_identity_5421,Gender_identity,M,49,neg,disambig,,native_effort,low,,,,,,,,,,,,,,,,,,,
Gender_identity_5421,Gender_identity,M,49,neg,disambig,,native_effort,medium,,,,,,,,,,,,,,,,,,,
Gender_identity_5421,Gender_identity,M,49,neg,disambig,,native_effort,high,,,,,,,,,,,,,,,,,,,
Gender_identity_5421,Gender_identity,M,49,neg,disambig,,budget,medium,128,,True,,,,,,,,,,,,,,,,
Gender_identity_5421,Gender_identity,M,49,neg,disambig,,budget,medium,512,,True,,,,,,,,,,,,,,,,
Gender_identity_5421,Gender_identity,M,49,neg,disambig,,budget,medium,1024,,True,,,,,,,,,,,,,,,,
Gender_identity_5329,Gender_identity,M,49,neg,disambig,,native_effort,low,,,,,,,,,,,,,,,,,,,
Gender_identity_5329,Gender_identity,M,49,neg,disambig,,native_effort,medium,,,,,,,,,,,,,,,,,,,
Gender_identity_5329,Gender_identity,M,49,neg,disambig,,native_effort,high,,,,,,,,,,,,,,,,,,,
Gender_identity_5329,Gender_identity,M,49,neg,disambig,,budget,medium,128,,True,,,,,,,,,,,,,,,,
Gender_identity_5329,Gender_identity,M,49,neg,disambig,,budget,medium,512,,True,,,,,,,,,,,,,,,,
Gender_identity_5329,Gender_identity,M,49,neg,disambig,,budget,medium,1024,,True,,,,,,,,,,,,,,,,
Nationality_2669,Nationality,"Afghan, Iranian, Iraqi, Libyan, Moroccan, Palestinian, Saudi, Syrian, Yemeni",23,neg,disambig,,native_effort,low,,,,,,,,,,,,,,,,,,,
Nationality_2669,Nationality,"Afghan, Iranian, Iraqi, Libyan, Moroccan, Palestinian, Saudi, Syrian, Yemeni",23,neg,disambig,,native_effort,medium,,,,,,,,,,,,,,,,,,,
Nationality_2669,Nationality,"Afghan, Iranian, Iraqi, Libyan, Moroccan, Palestinian, Saudi, Syrian, Yemeni",23,neg,disambig,,native_effort,high,,,,,,,,,,,,,,,,,,,
Nationality_2669,Nationality,"Afghan, Iranian, Iraqi, Libyan, Moroccan, Palestinian, Saudi, Syrian, Yemeni",23,neg,disambig,,budget,medium,128,,True,,,,,,,,,,,,,,,,
Nationality_2669,Nationality,"Afghan, Iranian, Iraqi, Libyan, Moroccan, Palestinian, Saudi, Syrian, Yemeni",23,neg,disambig,,budget,medium,512,,True,,,,,,,,,,,,,,,,
Nationality_2669,Nationality,"Afghan, Iranian, Iraqi, Libyan, Moroccan, Palestinian, Saudi, Syrian, Yemeni",23,neg,disambig,,budget,medium,1024,,True,,,,,,,,,,,,,,,,
Nationality_2681,Nationality,"Afghan, Iranian, Iraqi, Libyan, Moroccan, Palestinian, Saudi, Syrian, Yemeni",23,neg,disambig,,native_effort,low,,,,,,,,,,,,,,,,,,,
